sample;time;position_x;position_y;position_z
510;8.483333330000001;-0.111697;1.4037952;-0.214548
511;8.5;-0.111697;1.4037952;-0.214548
512;8.516666669999999;-0.111697;1.4037952;-0.214548
513;8.53333333;-0.111697;1.4037952;-0.214548
514;8.550000000000001;-0.111697;1.4037952;-0.214548
515;8.56666667;-0.111697;1.4037952;-0.214548
516;8.58333333;-0.111697;1.4037952;-0.214548
517;8.6;-0.111697;1.4037952;-0.214548
518;8.616666670000001;-0.111697;1.4037952;-0.214548
519;8.633333329999999;-0.111697;1.4037952;-0.214548
520;8.65;-0.111697;1.4037952;-0.214548
521;8.66666667;-0.111697;1.4037952;-0.214548
522;8.68333333;-0.111697;1.4037952;-0.214548
523;8.699999999999999;-0.111697;1.4037952;-0.214548
524;8.71666667;-0.111697;1.4037952;-0.214548
525;8.733333330000001;-0.111697;1.4037952;-0.214548
526;8.75;-0.111697;1.4037952;-0.214548
527;8.766666669999999;-0.111697;1.4037952;-0.214548
528;8.78333333;-0.111697;1.4037952;-0.214548
529;8.800000000000001;-0.111697;1.4037952;-0.214548
530;8.81666667;-0.111697;1.4037952;-0.214548
531;8.83333333;-0.111697;1.4037952;-0.214548
532;8.85;-0.111697;1.4037952;-0.214548
533;8.866666670000001;-0.111697;1.4037952;-0.214548
534;8.883333329999999;-0.111697;1.4037952;-0.214548
535;8.9;-0.111697;1.4037952;-0.214548
536;8.91666667;-0.111697;1.4037952;-0.214548
537;8.93333333;-0.111697;1.4037952;-0.214548
538;8.949999999999999;-0.111697;1.4037952;-0.214548
539;8.96666667;-0.111697;1.4037952;-0.214548
540;8.983333330000001;-0.111697;1.4037952;-0.214548
541;9;-0.111697;1.4037952;-0.214548
542;9.016666669999999;-0.111697;1.4037952;-0.214548
543;9.03333333;-0.111697;1.4037952;-0.214548
544;9.050000000000001;-0.111697;1.4037952;-0.214548
545;9.06666667;-0.111697;1.4037952;-0.214548
546;9.08333333;-0.111697;1.4037952;-0.214548
547;9.1;-0.111697;1.4037952;-0.214548
