DataRate=60		
DataType=Quaternion
version= 3		
OpenSimVersion= 4.1		
endheader		
time	r_humerus_imu	r_ulna_radius_hand_imu
37.166666666666664	 0.68675965, 0.011293721, 0.005521951, 0.72677916	 0.6184688, 0.41483352, 0.2644572, -0.61275756
37.18333333333333	 0.68664414, 0.011298084, 0.0055131884, 0.7268883	 0.6195548, 0.41319343, 0.2630605, -0.6133697
37.2	 0.68658364, 0.011303592, 0.005507942, 0.7269453	 0.62007993, 0.4120442, 0.26239988, -0.6138948
37.21666666666667	 0.6865416, 0.011297878, 0.0055028945, 0.7269852	 0.62041295, 0.4109364, 0.26203778, -0.6144556
37.233333333333334	 0.6865261, 0.011304247, 0.005513379, 0.7269996	 0.6209615, 0.40955916, 0.2611896, -0.61518157
37.25	 0.686522, 0.011301223, 0.0055074873, 0.72700363	 0.6221424, 0.40758517, 0.25893518, -0.61625135
37.266666666666666	 0.6865159, 0.011319155, 0.005498575, 0.7270092	 0.6237767, 0.40510786, 0.2555166, -0.6176583
37.28333333333333	 0.6865031, 0.011331914, 0.0054835943, 0.72702116	 0.62599015, 0.40213767, 0.25072035, -0.61932313
37.3	 0.68647623, 0.011331252, 0.0054810303, 0.72704667	 0.6282703, 0.39890015, 0.245509, -0.62119275
37.31666666666666	 0.686432, 0.011334353, 0.0054854937, 0.7270884	 0.6304961, 0.39551425, 0.24123292, -0.6227759
37.333333333333336	 0.6863928, 0.011340177, 0.005489898, 0.7271252	 0.6319966, 0.39218196, 0.23888876, -0.62426424
37.35	 0.6863473, 0.0113383215, 0.0054985723, 0.7271681	 0.63341254, 0.38843825, 0.23706129, -0.6258645
37.36666666666667	 0.6862853, 0.011358893, 0.0054732226, 0.7272264	 0.63364863, 0.3859294, 0.23660828, -0.6273472
37.38333333333333	 0.6861755, 0.011401576, 0.0054495553, 0.7273297	 0.6341541, 0.38373473, 0.23523702, -0.628697
37.4	 0.6861239, 0.011394174, 0.0054418966, 0.72737855	 0.6349764, 0.38144538, 0.23263565, -0.6302263
37.416666666666664	 0.6861097, 0.011379666, 0.005451995, 0.72739196	 0.63644195, 0.37882116, 0.22867584, -0.6317781
37.43333333333333	 0.6861296, 0.011364881, 0.0054789796, 0.7273732	 0.63818216, 0.37573954, 0.22444554, -0.63337797
37.45	 0.68615186, 0.011346755, 0.0054795626, 0.7273525	 0.63968366, 0.37259412, 0.22122154, -0.63485396
37.46666666666667	 0.6861594, 0.011351521, 0.0054672845, 0.7273455	 0.6405918, 0.36993185, 0.21906926, -0.63624007
37.483333333333334	 0.68618184, 0.011326995, 0.005492311, 0.7273245	 0.64101124, 0.36792767, 0.21729745, -0.63758594
37.5	 0.68639797, 0.011352579, 0.005506066, 0.72712004	 0.6412339, 0.36613196, 0.21547954, -0.6390111
37.516666666666666	 0.6865196, 0.011358534, 0.005513077, 0.72700495	 0.6416038, 0.36315182, 0.21248356, -0.6413393
37.53333333333333	 0.68663496, 0.011351876, 0.0055333665, 0.726896	 0.64253765, 0.35896897, 0.20815226, -0.64417344
37.55	 0.6868503, 0.0113721555, 0.0055365525, 0.72669214	 0.6436163, 0.35435376, 0.20322247, -0.64721894
37.56666666666666	 0.68714553, 0.011412103, 0.0054800184, 0.72641283	 0.64498794, 0.35012808, 0.19804835, -0.6497522
37.583333333333336	 0.68801075, 0.011243009, 0.0056651705, 0.7255947	 0.6464891, 0.34640762, 0.1934437, -0.65163887
37.6	 0.68788874, 0.011221641, 0.0056699663, 0.72571063	 0.64726806, 0.34362912, 0.19118892, -0.6530009
37.61666666666667	 0.6880492, 0.011146086, 0.0057324064, 0.72555923	 0.6474263, 0.34133554, 0.19055416, -0.6542312
37.63333333333333	 0.688132, 0.011213983, 0.0057375324, 0.7254795	 0.64751947, 0.33885777, 0.18979196, -0.6556469
37.65	 0.6880492, 0.011194258, 0.0057365466, 0.7255583	 0.6477134, 0.33660913, 0.18881604, -0.6568944
37.666666666666664	 0.6880172, 0.011187683, 0.0057500624, 0.7255886	 0.6483858, 0.33426753, 0.18675737, -0.6580143
37.68333333333333	 0.6879667, 0.011185196, 0.0057463306, 0.7256366	 0.649239, 0.33171704, 0.18422867, -0.65917563
37.7	 0.68792695, 0.011180134, 0.005739746, 0.7256746	 0.6501793, 0.32891694, 0.18135533, -0.66044754
37.71666666666667	 0.6878922, 0.011178951, 0.005726443, 0.7257075	 0.6511625, 0.32627115, 0.178921, -0.6614543
37.733333333333334	 0.6879052, 0.011166858, 0.0057273027, 0.7256955	 0.65179026, 0.32382762, 0.17778938, -0.6623416
37.75	 0.68789035, 0.011116285, 0.0057603368, 0.7257099	 0.6522865, 0.32133436, 0.17727165, -0.6632055
37.766666666666666	 0.6878737, 0.011072447, 0.005789346, 0.7257261	 0.65309703, 0.31837717, 0.1762397, -0.6641085
37.78333333333333	 0.68786335, 0.011026766, 0.0058104317, 0.7257365	 0.65439373, 0.31476885, 0.17403466, -0.6651327
37.8	 0.6878486, 0.011003731, 0.005816101, 0.72575086	 0.65559655, 0.3108865, 0.17106175, -0.6665441
37.81666666666666	 0.6878069, 0.0109886285, 0.0058381804, 0.72579026	 0.6564454, 0.30718762, 0.16771291, -0.66827226
37.833333333333336	 0.68779975, 0.010974215, 0.0058461227, 0.7257973	 0.65754634, 0.30293044, 0.16348457, -0.6701783
37.85	 0.68780965, 0.010948783, 0.0058534364, 0.7257882	 0.65825415, 0.29885927, 0.15995744, -0.6721594
37.86666666666667	 0.6877874, 0.010923409, 0.0058783656, 0.72580945	 0.6586612, 0.29458845, 0.15661134, -0.6744301
37.88333333333333	 0.68776506, 0.010907779, 0.005891783, 0.7258308	 0.6593647, 0.29025108, 0.15419656, -0.6761775
37.9	 0.68774396, 0.010895129, 0.005892767, 0.72585106	 0.6599129, 0.285938, 0.15226689, -0.67791545
37.916666666666664	 0.687715, 0.010912411, 0.005884491, 0.72587824	 0.66088206, 0.2814079, 0.1495055, -0.6794798
37.93333333333333	 0.6876708, 0.010917841, 0.005879248, 0.72591996	 0.6617635, 0.27632278, 0.14510256, -0.68166
37.95	 0.6876689, 0.010933772, 0.00589559, 0.7259215	 0.66291046, 0.2712019, 0.13955899, -0.68375635
37.96666666666667	 0.6876588, 0.010915467, 0.0059135696, 0.7259312	 0.6642708, 0.2669043, 0.13494147, -0.6850529
37.983333333333334	 0.6876483, 0.010898401, 0.005923533, 0.72594124	 0.6654205, 0.2630842, 0.13233319, -0.6859229
38	 0.6876176, 0.010900306, 0.0059251385, 0.7259703	 0.66632956, 0.2587353, 0.13083346, -0.6869815
38.016666666666666	 0.6875999, 0.010907629, 0.005920412, 0.72598714	 0.6667784, 0.25352734, 0.12884985, -0.68886
38.03333333333333	 0.6875993, 0.010905919, 0.005922048, 0.7259877	 0.6671241, 0.24989031, 0.12758279, -0.6900891
38.05	 0.6875887, 0.010873742, 0.005929945, 0.7259981	 0.66712457, 0.24728183, 0.12668933, -0.691192
38.06666666666666	 0.68757343, 0.010836048, 0.005941394, 0.726013	 0.6677627, 0.24454865, 0.12497925, -0.6918592
38.083333333333336	 0.68756944, 0.0108288685, 0.005951058, 0.72601676	 0.6684298, 0.24166009, 0.124039166, -0.6923991
38.1	 0.6875479, 0.010841746, 0.005942388, 0.72603714	 0.6686732, 0.2389502, 0.12449376, -0.6930226
38.11666666666667	 0.68751943, 0.010848544, 0.0059389086, 0.726064	 0.66884, 0.23636016, 0.12480687, -0.6936933
38.13333333333333	 0.687497, 0.010831675, 0.005949936, 0.72608536	 0.6693013, 0.23378594, 0.124295704, -0.69421226
38.15	 0.68748456, 0.010804294, 0.00596319, 0.72609735	 0.6700138, 0.23102069, 0.12349536, -0.69459337
38.166666666666664	 0.68746454, 0.01077589, 0.005976727, 0.72611666	 0.6704843, 0.2281899, 0.12304019, -0.6951557
