sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Euler),,,,,,,,,,,,,,,,,
StartTime:,2023-05-16 13:58:40.381 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
764, 976503091, -166.56851196289062, 2.3621840476989746, 122.3933334350586, -0.16816291, -0.18468168, -0.45144367, 0
765, 976519758, -166.55859375, 2.377352714538574, 122.38383483886719, -0.15281086, -0.15520403, -0.32421875, 0
766, 976536425, -166.54087829589844, 2.395376443862915, 122.37417602539062, -0.08141353, -0.14330186, -0.24301434, 0
767, 976553092, -166.5237579345703, 2.412081003189087, 122.37080383300781, 0.008892686, -0.09806754, -0.29861832, 0
768, 976569759, -166.5084228515625, 2.424609899520874, 122.35799407958984, -0.06455889, -0.14075683, -0.38925934, 0
769, 976586426, -166.4861602783203, 2.4389541149139404, 122.33733367919922, -0.14926101, -0.21834585, -0.38163662, 0
770, 976603093, -166.479248046875, 2.4574716091156006, 122.31483459472656, -0.16248475, -0.20785373, -0.39791965, 0
771, 976619760, -166.47630310058594, 2.4802746772766113, 122.29547119140625, -0.090217985, -0.13109913, -0.33818436, 0
772, 976636427, -166.45533752441406, 2.505244493484497, 122.276123046875, -0.033431225, -0.1102191, -0.34086227, 0
773, 976653094, -166.4327850341797, 2.525177001953125, 122.25128936767578, -0.0876066, -0.12935105, -0.34771442, 0
774, 976669761, -166.41348266601562, 2.5471880435943604, 122.2220458984375, -0.10700085, -0.13130543, -0.41923428, 0
775, 976686428, -166.39707946777344, 2.57243275642395, 122.19271087646484, -0.1071073, -0.15905009, -0.39248562, 0
776, 976703095, -166.3846435546875, 2.597909927368164, 122.16334533691406, -0.11355634, -0.15206167, -0.31153488, 0
777, 976719762, -166.3668670654297, 2.6282007694244385, 122.14305877685547, -0.05756203, -0.10813092, -0.31148243, 0
778, 976736429, -166.3665313720703, 2.6623566150665283, 122.11945343017578, -0.12351868, -0.17721747, -0.40214252, 0
779, 976753096, -166.37530517578125, 2.694106340408325, 122.09162902832031, -0.10478477, -0.18963005, -0.40906334, 0
780, 976769763, -166.3793182373047, 2.7208478450775146, 122.06747436523438, -0.118665345, -0.10828823, -0.3835411, 0
781, 976786430, -166.36740112304688, 2.7450931072235107, 122.04208374023438, -0.08867868, -0.11804751, -0.3722887, 0
782, 976803097, -166.347900390625, 2.7616584300994873, 122.00992584228516, -0.028797464, -0.1687502, -0.41597557, 0
783, 976819764, -166.31961059570312, 2.773221731185913, 121.97602081298828, -0.02943917, -0.22373275, -0.45599365, 0
784, 976836431, -166.28207397460938, 2.781693935394287, 121.95074462890625, -0.07412388, -0.22323142, -0.34140682, 0
785, 976853098, -166.2437744140625, 2.791344404220581, 121.92910766601562, -0.06178151, -0.19703436, -0.30942822, 0
786, 976869765, -166.23255920410156, 2.804522752761841, 121.90361785888672, -0.14873482, -0.21095584, -0.44981956, 0
787, 976886432, -166.23751831054688, 2.82057523727417, 121.87867736816406, -0.12757164, -0.16607097, -0.45187092, 0
788, 976903099, -166.2499237060547, 2.8362882137298584, 121.85564422607422, -0.026568929, -0.10468971, -0.45105648, 0
789, 976919766, -166.24929809570312, 2.8499724864959717, 121.83534240722656, -0.0014400381, -0.07683488, -0.34221935, 0
790, 976936433, -166.2164306640625, 2.8654017448425293, 121.82170867919922, -0.07024942, -0.1556204, -0.33508205, 0
791, 976953100, -166.18675231933594, 2.8788070678710938, 121.81584167480469, -0.14082347, -0.22351712, -0.37543106, 0
792, 976969767, -166.1807098388672, 2.8953168392181396, 121.813720703125, -0.09767572, -0.15559693, -0.42352676, 0
793, 976986434, -166.18399047851562, 2.9131107330322266, 121.80924224853516, -0.10506191, -0.20759188, -0.3976364, 0
794, 977003101, -166.18873596191406, 2.9290168285369873, 121.80399322509766, -0.03134093, -0.15415168, -0.2927227, 0
795, 977019768, -166.18556213378906, 2.938720464706421, 121.80380249023438, 0.0048431903, -0.050257627, -0.3037777, 0
796, 977036435, -166.15333557128906, 2.9442625045776367, 121.80653381347656, -0.0706539, -0.11620768, -0.4161539, 0
797, 977053102, -166.12982177734375, 2.945570707321167, 121.8020248413086, -0.12100905, -0.21653183, -0.4241438, 0
