38.5611120594189+1.77635683940025e-15i,25.8361217202016+1.77635683940025e-15i,-41.6267952185281+0i
16.026463062635-1.33226762955019e-15i,18.4751315957269+0i,-15.7819787895485-8.88178419700125e-16i
-9.84401415949618+8.88178419700125e-16i,2.27253861607292+0i,-0.151612893517247-8.88178419700125e-16i
-10.6594132502465+0i,-10.7497449720267+0i,0.826718435380644-4.44089209850063e-16i
4.92421658647483+0i,-3.9585029044099-8.88178419700125e-16i,-11.7309288025649-4.44089209850063e-16i
17.6324316231848+0i,14.4870148479467-8.88178419700125e-16i,-23.3688956771676+0i
15.6531463365423+8.88178419700125e-16i,29.4716385509841+0i,-35.8367888940169+0i
12.0910461863312+0i,25.4339864874571+0i,-44.2667835528989+1.77635683940025e-15i
18.3931419629262-4.44089209850063e-16i,14.5103531515388+2.22044604925031e-16i,-44.3941450469187+1.77635683940025e-15i
24.0679317636086+0i,14.6491937378137-4.44089209850063e-16i,-44.1267161438729+0i
24.7505630640005+8.88178419700125e-16i,23.4892426668977-8.88178419700125e-16i,-38.523193877525+0i
20.8912032894075-8.88178419700125e-16i,28.3874386268668+0i,-33.9108386836491+8.88178419700125e-16i
20.8721349100823+0i,31.5023072855178+0i,-34.3825746408988+8.88178419700125e-16i
6.50801340780926+0i,24.8438689834648+0i,-34.5687218661659-1.77635683940025e-15i
-6.7137584641811+8.88178419700125e-16i,3.41281685802459+8.88178419700125e-16i,-21.8623484349079+0i
6.72874588851753-4.44089209850063e-16i,-7.92613161182462+0i,-12.224183756644+0i
40.1237438764884+0i,5.89724204965764+8.88178419700125e-16i,-18.7293383036549+1.77635683940025e-15i
52.4967727263596+0i,16.9669277582916+0i,-26.6934332101056+0i
39.3573591629901+1.77635683940025e-15i,7.31852611223383+0i,-23.8282903321723-4.44089209850063e-16i
32.03176446159-8.88178419700125e-16i,5.81288154403056+4.44089209850063e-16i,-17.2439776351207+0i
41.3814153862063-1.77635683940025e-15i,18.6417300871162+1.77635683940025e-15i,-11.2954315963485-8.88178419700125e-16i
