sample;time;ulna_l_offset|position;;;humerus_l_offset|position;;
;;x;y;z;x;y;z
202;3.35;0.1723767962674155;1.371169694659091;-0.235872023200823;0.1723767962674155;1.371169694659091;-0.235872023200823
203;3.36666667;0.1723931703089754;1.371295817149779;-0.2358464632819389;0.1723931703089754;1.371295817149779;-0.2358464632819389
204;3.38333333;0.1724060105959658;1.371414855147837;-0.2358564942584766;0.1724060105959658;1.371414855147837;-0.2358564942584766
205;3.4;0.1724150445327782;1.371507561355894;-0.2358767091074981;0.1724150445327782;1.371507561355894;-0.2358767091074981
206;3.41666667;0.1724203284313063;1.371549889739141;-0.2358703577785909;0.1724203284313063;1.371549889739141;-0.2358703577785909
207;3.43333333;0.1724232517426083;1.371552807132693;-0.235835788563098;0.1724232517426083;1.371552807132693;-0.235835788563098
208;3.45;0.1724283556723987;1.371589393901841;-0.2358230465945598;0.1724283556723987;1.371589393901841;-0.2358230465945598
209;3.46666667;0.1724258132388917;1.371568768386382;-0.2358257675678316;0.1724258132388917;1.371568768386382;-0.2358257675678316
210;3.48333333;0.1724143742649823;1.371482678103034;-0.2358479350215268;0.1724143742649823;1.371482678103034;-0.2358479350215268
211;3.5;0.1723923714189496;1.371328418545129;-0.2359067555524123;0.1723923714189496;1.371328418545129;-0.2359067555524123
212;3.51666667;0.1723715454991083;1.371205890904675;-0.2359969552358711;0.1723715454991083;1.371205890904675;-0.2359969552358711
213;3.53333333;0.1723595307578348;1.371146627691592;-0.2360658379500797;0.1723595307578348;1.371146627691592;-0.2360658379500797
214;3.55;0.1723346444295459;1.370951494687253;-0.2360973682964834;0.1723346444295459;1.370951494687253;-0.2360973682964834
215;3.56666667;0.1722993917098628;1.370662045271622;-0.2361188795259622;0.1722993917098628;1.370662045271622;-0.2361188795259622
216;3.58333333;0.1722580161250554;1.370303273217719;-0.2361095154344456;0.1722580161250554;1.370303273217719;-0.2361095154344456
217;3.6;0.1722130422311902;1.36989157240812;-0.2360582590964146;0.1722130422311902;1.36989157240812;-0.2360582590964146
218;3.61666667;0.1721656694773902;1.369433683299702;-0.2359566509903153;0.1721656694773902;1.369433683299702;-0.2359566509903153
219;3.63333333;0.1721054854334638;1.368855675293421;-0.2358185939048953;0.1721054854334638;1.368855675293421;-0.2358185939048953
